step 01010/01905 (53.02%) | loss: 3.388751 | lrm: 0.74 | dt: 889.10ms | tok/sec: 294,841 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 81 | total time: 15.25m | eta: 13.7m
step 01011/01905 (53.07%) | loss: 3.379755 | lrm: 0.74 | dt: 920.24ms | tok/sec: 284,863 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 82 | total time: 15.27m | eta: 13.6m
[2026-08-11 17:05:48] OK   base_checkpoints -> gdrive:/base_checkpoints
step 01012/01905 (53.12%) | loss: 3.392184 | lrm: 0.74 | dt: 905.83ms | tok/sec: 289,397 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 82 | total time: 15.28m | eta: 13.6m
step 01013/01905 (53.18%) | loss: 3.408962 | lrm: 0.73 | dt: 904.45ms | tok/sec: 289,838 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 0 | total time: 15.30m | eta: 13.6m
step 01014/01905 (53.23%) | loss: 3.423737 | lrm: 0.73 | dt: 926.37ms | tok/sec: 282,980 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 0 | total time: 15.32m | eta: 13.6m
step 01015/01905 (53.28%) | loss: 3.437530 | lrm: 0.73 | dt: 903.03ms | tok/sec: 290,294 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 1 | total time: 15.33m | eta: 13.6m
step 01016/01905 (53.33%) | loss: 3.425917 | lrm: 0.73 | dt: 872.42ms | tok/sec: 300,479 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 1 | total time: 15.34m | eta: 13.6m
step 01017/01905 (53.39%) | loss: 3.415874 | lrm: 0.73 | dt: 906.18ms | tok/sec: 289,284 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 2 | total time: 15.36m | eta: 13.5m
step 01018/01905 (53.44%) | loss: 3.437568 | lrm: 0.73 | dt: 887.89ms | tok/sec: 295,243 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 2 | total time: 15.37m | eta: 13.5m
step 01019/01905 (53.49%) | loss: 3.415245 | lrm: 0.73 | dt: 920.44ms | tok/sec: 284,801 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 3 | total time: 15.39m | eta: 13.5m
step 01020/01905 (53.54%) | loss: 3.431106 | lrm: 0.73 | dt: 950.56ms | tok/sec: 275,779 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 3 | total time: 15.41m | eta: 13.5m
step 01021/01905 (53.60%) | loss: 3.425428 | lrm: 0.73 | dt: 923.81ms | tok/sec: 283,763 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 4 | total time: 15.42m | eta: 13.5m
step 01022/01905 (53.65%) | loss: 3.443311 | lrm: 0.73 | dt: 895.20ms | tok/sec: 292,833 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 4 | total time: 15.44m | eta: 13.5m
step 01023/01905 (53.70%) | loss: 3.453322 | lrm: 0.73 | dt: 934.45ms | tok/sec: 280,533 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 5 | total time: 15.45m | eta: 13.5m
step 01024/01905 (53.75%) | loss: 3.466492 | lrm: 0.73 | dt: 905.49ms | tok/sec: 289,503 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 5 | total time: 15.47m | eta: 13.4m
step 01025/01905 (53.81%) | loss: 3.447061 | lrm: 0.73 | dt: 907.65ms | tok/sec: 288,817 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 6 | total time: 15.48m | eta: 13.4m
step 01026/01905 (53.86%) | loss: 3.450224 | lrm: 0.72 | dt: 880.62ms | tok/sec: 297,680 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 6 | total time: 15.50m | eta: 13.4m
step 01027/01905 (53.91%) | loss: 3.454006 | lrm: 0.72 | dt: 919.58ms | tok/sec: 285,069 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 7 | total time: 15.51m | eta: 13.4m
step 01028/01905 (53.96%) | loss: 3.453271 | lrm: 0.72 | dt: 901.93ms | tok/sec: 290,647 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 7 | total time: 15.53m | eta: 13.4m
step 01029/01905 (54.02%) | loss: 3.423722 | lrm: 0.72 | dt: 921.99ms | tok/sec: 284,323 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 8 | total time: 15.54m | eta: 13.4m
step 01030/01905 (54.07%) | loss: 3.420028 | lrm: 0.72 | dt: 887.51ms | tok/sec: 295,370 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 8 | total time: 15.56m | eta: 13.3m
step 01031/01905 (54.12%) | loss: 3.402384 | lrm: 0.72 | dt: 912.02ms | tok/sec: 287,432 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 9 | total time: 15.57m | eta: 13.3m
step 01032/01905 (54.17%) | loss: 3.406215 | lrm: 0.72 | dt: 891.79ms | tok/sec: 293,953 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 9 | total time: 15.59m | eta: 13.3m
step 01033/01905 (54.23%) | loss: 3.406449 | lrm: 0.72 | dt: 929.24ms | tok/sec: 282,105 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 10 | total time: 15.60m | eta: 13.3m
step 01034/01905 (54.28%) | loss: 3.422899 | lrm: 0.72 | dt: 916.51ms | tok/sec: 286,025 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 10 | total time: 15.62m | eta: 13.3m
step 01035/01905 (54.33%) | loss: 3.436059 | lrm: 0.72 | dt: 922.01ms | tok/sec: 284,317 | bf16_mfu: 0.00 | epoch: 1 pq: 6 rg: 11 | total time: 15.63m | eta: 13.3m
